sample_id,label,max_abs,final_abs,mean_abs,std_response,zero_crossings
underdamped-037,underdamped,1.0,1.5350647163204313e-07,0.059722123975588834,0.18737104601160073,9
underdamped-038,underdamped,1.0,6.552105431632674e-05,0.08533312543014979,0.20482729676458394,10
underdamped-039,underdamped,1.0,7.816053014201032e-11,0.05530555156580748,0.18776204807421823,7
underdamped-040,underdamped,1.0,7.284586345507018e-07,0.06149656831389297,0.18818822261958823,9
underdamped-041,underdamped,1.0,3.0915595249489517e-11,0.05680463608048412,0.1911987876122565,6
underdamped-042,underdamped,1.0,6.208913491856574e-10,0.05527470124158856,0.18826205698024517,7
underdamped-043,underdamped,1.0,9.839904142316189e-06,0.07220539270784514,0.19466222522249238,9
underdamped-044,underdamped,1.0,3.1213629258616993e-11,0.05679476798824926,0.19118801050638407,6
underdamped-045,underdamped,1.0,3.506528727724207e-11,0.05625727608842366,0.19049712655689285,6
underdamped-046,underdamped,1.0,2.90243676868358e-06,0.0649026772147902,0.1899416922708497,9
underdamped-047,underdamped,1.0,9.246047200426204e-06,0.07526281392556132,0.19688632721393154,9
underdamped-048,underdamped,1.0,4.67457881792455e-10,0.05529808202050617,0.1879602725109186,7
underdamped-049,underdamped,1.0,0.0016631088255052,0.11125037662281356,0.2250492320126344,10
underdamped-050,underdamped,1.0,0.0002144322339288,0.09153552952515467,0.20968099648211572,10
underdamped-051,underdamped,1.0,0.0677197925181291,0.22505927572536727,0.31457971899495757,10
underdamped-052,underdamped,1.0,3.766643657461269e-12,0.05595351367375292,0.19006858258880477,6
underdamped-053,underdamped,1.0,1.6488245812334055e-10,0.05530737240552187,0.18768858474831032,8
underdamped-054,underdamped,1.0,6.119056584109954e-10,0.05526889059639222,0.1883499391763634,7
underdamped-055,underdamped,1.0,1.7080555446489798e-11,0.05584536682388561,0.1899237092002471,7
underdamped-056,underdamped,1.0,3.293062543146413e-07,0.06047742682902996,0.18767594273596058,9
underdamped-057,underdamped,1.0,2.27925528991606e-08,0.05653444506645573,0.18681830957320172,8
underdamped-058,underdamped,1.0,0.0016608319262482,0.11123180716478145,0.22503481954971938,10
underdamped-059,underdamped,1.0,0.0035410336215791,0.12293230275047906,0.2341818498837513,10
underdamped-060,underdamped,1.0,1.4924641220017088e-11,0.05530608982844895,0.18774092135446024,7
underdamped-061,underdamped,1.0,1.92945545887041e-07,0.05992660295165811,0.18744738327309118,9
underdamped-062,underdamped,1.0,2.3964772136340703e-08,0.05660038566284245,0.1868101140948421,8
underdamped-063,underdamped,1.0,9.811671795055824e-11,0.05566719189917693,0.18956562691479187,7
underdamped-064,underdamped,1.0,3.255462373037962e-09,0.055517658814227565,0.1872962740607919,8
underdamped-065,underdamped,1.0,2.7060882797163448e-08,0.056825607841458396,0.1867970932219284,8
underdamped-066,underdamped,1.0,2.5759188523042924e-08,0.056716726359731844,0.1868006031117499,8
underdamped-067,underdamped,1.0,1.014776218913744e-05,0.07323780248372501,0.19539413237809522,9
underdamped-068,underdamped,1.0,0.036240017305581,0.1904590638370352,0.28739773927311935,10
underdamped-069,underdamped,1.0,7.389814354299258e-07,0.061517368188812,0.18819989456027567,9
underdamped-070,underdamped,1.0,0.0001170035211065,0.08804150062184192,0.2069183776796704,10
underdamped-071,underdamped,1.0,1.709684429531536e-06,0.06324653674944475,0.18908974686066232,9
